DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2011,46.3,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2012,46.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2013,44.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2014,40.5,b
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2015,39.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2016,39.2,b
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2017,36.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2018,33.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2019,30.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2020,27.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2021,23.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2022,22.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,BG,2023,20.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CH,2007,6.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CH,2008,6.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CH,2009,7.6,
